qSpecies_string,resolved_to,rule,authority,note
Liriodendron tulipifera 'Emerald City' - 'Emerald City' Tulip poplar,Liriodendron tulipifera,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Fraxinus nigra - Black Ash,,unmapped (accepted),ITIS TSN 32945,accepted taxon absent from the corpus; the build mints it
Pinus pungens - Table Mountain pine,,unmapped (accepted),ITIS TSN 183369,accepted taxon absent from the corpus; the build mints it
Acer saccharum 'Flashfire' - 'Flashfire' Sugar maple,Acer saccharum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Elaeagnus angustifolia - Russian olive,Elaeagnus angustifolia,R0 exact,-,already a corpus name
Juniperus chinensis 'Hollywood' - 'Hollywood' Chinese juniper,Juniperus chinensis,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Quercus bicolor 'American Dream' - 'American Dream' Swamp white oak,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Ilex aquifolium - English holly,Ilex aquifolium,R0 exact,-,already a corpus name
Hydrangea paniculata - Panicle hydrangea,,unmapped (accepted),ITIS TSN 24199,accepted taxon absent from the corpus; the build mints it
Acer saccharum 'Commemoration' - 'Commemoration' Sugar maple,Acer saccharum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Styrax americanus - American snowbell,,unmapped (accepted),ITIS TSN 505398,accepted taxon absent from the corpus; the build mints it
Cercis reniformis 'Oklahoma' - 'Oklahoma' Oklahoma redbud,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Rhus typhina - Staghorn sumac,Rhus typhina,R0 exact,-,already a corpus name
Styrax obassia - Fragrant snowbell,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Abies alba - silver fir,,unmapped (accepted),ITIS TSN 506607,accepted taxon absent from the corpus; the build mints it
Quercus phellos 'Hightower' - 'Hightower' Willow oak,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Cornus nuttallii - Pacific dogwood,,unmapped (accepted),ITIS TSN 27809,accepted taxon absent from the corpus; the build mints it
Crataegus phaenopyrum 'Washington' - 'Washington' Hawthorn,Crataegus phaenopyrum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cotinus 'Royal Purple' - 'Royal Purple' Smoketree,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Ilex x 'Nellie R. Stevens' - 'Nellie R. Stevens' Holly,Ilex,R1+R2/R3,ICN Art. H.3A.1 + Art. 4 / ICNCP Art. 2.1,"hybrid notation stripped, then reduced to the species"
x Chitalpa tashkentensis - Chitalpa,Chitalpa tashkentensis,R1 hybrid sign,"ICN (Shenzhen Code) Art. H.3A.1, Art. 23.1","the multiplication sign is notation, not part of the epithet"
Quercus laurifolia - laurel oak,,unmapped (accepted),ITIS TSN 19368,accepted taxon absent from the corpus; the build mints it
Corylus americana - American hazelnut,,unmapped (accepted),ITIS TSN 19506,accepted taxon absent from the corpus; the build mints it
Acer campestre 'Evelyn' - 'Evelyn' Hedge maple,Acer campestre 'Evelyn',R0 exact,-,already a corpus name
Oxydendrum arboreum - sourwood,,unmapped (accepted),ITIS TSN 23690,accepted taxon absent from the corpus; the build mints it
Acer saccharum 'Green Mountain' - 'Green Mountain' Sugar maple,Acer saccharum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Gleditsia triacanthos var. inermis 'Shademaster' - 'Shademaster' Thornless honeylocust,Gleditsia triacanthos,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Prunus cerasifera 'Krauter Vesuvius' - 'Krauter Vesuvius' Cherry plum,Prunus cerasifera 'Krauter vesuvius',R0 exact,-,already a corpus name
Quercus cerris - European turkey oak,,unmapped (accepted),ITIS TSN 506534,accepted taxon absent from the corpus; the build mints it
Quercus robur x bicolor 'Kindred Spirit' - 'Kindred Spirit' Oak,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Rhus glabra - Smooth Sumac,,unmapped (accepted),ITIS TSN 28782,accepted taxon absent from the corpus; the build mints it
Pyrus communis - European/Common Pear,Pyrus communis,R0 exact,-,already a corpus name
Nyssa sylvatica 'Gum drop' - 'Gum Drop' Black gum,Nyssa sylvatica,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Ginkgo biloba 'Fairmont' - 'Fairmont' Ginkgo,Ginkgo biloba 'Fairmont',R0 exact,-,already a corpus name
Catalpa bignonioides - southern catalpa,,unmapped (accepted),ITIS TSN 34313,accepted taxon absent from the corpus; the build mints it
Fraxinus quadrangulata - Blue ash,,unmapped (accepted),ITIS TSN 32947,accepted taxon absent from the corpus; the build mints it
Malus sargentii 'Tina' - 'Tina' Sargent's crabapple,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Ulmus americana 'Lewis & Clark' - Prairie Expedition American elm,Ulmus americana,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cornus canadensis - bunchberry dogwood,,unmapped (accepted),ITIS TSN 27816,accepted taxon absent from the corpus; the build mints it
Larix decidua - European larch,,unmapped (accepted),ITIS TSN 183410,accepted taxon absent from the corpus; the build mints it
Aesculus flava - yellow buckeye,,unmapped (synonym),ITIS TSN 28717,Aesculus flava
Prunus 'Amanowagawa' - 'Amanowagawa' Cherry,Prunus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Ulmus 'New Harmony' - 'New Harmony' Elm,Ulmus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Acer saccharum 'Oregon Trail' - 'Oregon Trail' sugar maple,Acer saccharum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Betula platyphylla - Asian white birch,,unmapped (accepted),ITIS TSN 183538,accepted taxon absent from the corpus; the build mints it
Prunus sargentii 'Columnaris Rancho' - 'Columnaris Rancho' Sargent cherry,Prunus sargentii,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Juglans ailantifolia - Japanese walnut,,unmapped (accepted),ITIS TSN 506528,accepted taxon absent from the corpus; the build mints it
Magnolia kobus - Kobus magnolia,,unmapped (accepted),ITIS TSN 895295,accepted taxon absent from the corpus; the build mints it
Juniperus chinensis 'Blue Point' - 'Blue Point' Chinese juniper,Juniperus chinensis,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Pyrus calleryana 'Jack Pear' - 'Jack Pear' Callery pear,Pyrus calleryana,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Magnolia x. soulangiana 'Rustica Rubra' - 'Rustica Rubra' Saucer magnolia,Magnolia soulangiana,R1+R2/R3,ICN Art. H.3A.1 + Art. 4 / ICNCP Art. 2.1,"hybrid notation stripped, then reduced to the species"
Prunus armeniaca - Apricot,Prunus armeniaca,R0 exact,-,already a corpus name
Prunus subhirtella 'Pendula' - 'Pendula' Higan cherry,Prunus subhirtella 'Pendula',R0 exact,-,already a corpus name
Ulmus parvifolia 'Dynasty' - 'Dynasty' Chinese elm,Ulmus parvifolia,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Prunus serrulata 'Shirotae' - 'Shirotae' Flowering cherry,Prunus serrulata 'Shirotae',R0 exact,-,already a corpus name
Picea omorika - Serbian spruce,,unmapped (accepted),ITIS TSN 822549,accepted taxon absent from the corpus; the build mints it
Cornus mas 'Spring Sun' - 'Spring Sun' Cornelian cherry dogwood,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Heptacodium miconioides - seven-son flower,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Fagus sylvatica 'Asplenifolia' - 'Asplenifolia' European beech,Fagus sylvatica,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Acer rubrum 'Bowhall' - 'Bowhall' Red maple,Acer rubrum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Quercus x sargentii - Sargent oak,,unmapped (accepted),ITIS TSN 19413,accepted taxon absent from the corpus; the build mints it
Vitex agnus-castus - lilac chastetree,,unmapped (accepted),ITIS TSN 32221,accepted taxon absent from the corpus; the build mints it
Pyrus fauriei 'Korean Sun' - 'Korean Sun' Pear,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Acer saccharum 'Fall Fiesta' - 'Fall Fiesta' Sugar maple,Acer saccharum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Aesculus octandra - Yellow buckeye,,unmapped (synonym),ITIS TSN 28725,Aesculus flava
Amelanchier x intermedia - serviceberry,,unmapped (synonym),ITIS TSN 25115,Amelanchier intermedia
Ginkgo biloba 'Presidential Gold' - 'Presidential Gold' Ginkgo,Ginkgo biloba,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Magnolia 'Butterflies' - 'Butterflies' Magnolia,Magnolia,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Pinus heldreichii - Bosnian Pine,,unmapped (accepted),ITIS TSN 822688,accepted taxon absent from the corpus; the build mints it
Robinia pseudoacacia 'Purple Robe' - 'Purple Robe' Black locust,Robinia pseudoacacia,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Abies fraseri - Fraser fir,,unmapped (accepted),ITIS TSN 181829,accepted taxon absent from the corpus; the build mints it
Taxodium distichum 'Skyward' - 'Skyward' Bald cypress,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Aralia spinosa - devil's walkingstick,,unmapped (accepted),ITIS TSN 29378,accepted taxon absent from the corpus; the build mints it
Tilia tomentosa 'Satin Shadow' - 'Satin Shadow' Silver linden,Tilia tomentosa,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Prunus cerasifera 'Mount St. Helens' - 'Mount St. Helens' Cherry plum,Prunus cerasifera,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Prunus cistena 'Schmidt's' - 'Schmidt's' Purple-leaf sand cherry,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Carpinus caroliniana 'Native Flame' - 'Native Flame' American hornbeam,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Magnolia 'Jane' - 'Jane' Magnolia,Magnolia,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Quercus laevis - turkey oak,,unmapped (accepted),ITIS TSN 19367,accepted taxon absent from the corpus; the build mints it
Aesculus parviflora - bottlebrush buckeye,,unmapped (accepted),ITIS TSN 28722,accepted taxon absent from the corpus; the build mints it
Lagerstroemia indica 'Tuskogee' - 'Tuskogee' Crapemyrtle,Lagerstroemia indica,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Magnolia tripetala - umbrella-tree,,unmapped (accepted),ITIS TSN 18077,accepted taxon absent from the corpus; the build mints it
Quercus marilandica - blackjack oak,,unmapped (accepted),ITIS TSN 19374,accepted taxon absent from the corpus; the build mints it
Quercus ilex - holly oak,Quercus ilex,R0 exact,-,already a corpus name
Juniperus chinensis 'Keteleeri' - 'Keteleeri' Chinese juniper,Juniperus chinensis,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Aesculus x hybrida - buckeye,,unmapped (accepted),ITIS TSN 182122,accepted taxon absent from the corpus; the build mints it
Nyssa sylvatica 'Forum' - 'Forum' Balck gum,Nyssa sylvatica,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Pinus wallichiana - Bhutan pine,,unmapped (accepted),ITIS TSN 822579,accepted taxon absent from the corpus; the build mints it
Malus domestica - Common Apple,,unmapped (accepted),ITIS TSN 516655,accepted taxon absent from the corpus; the build mints it
Acer tataricum 'Pattern Perfect' - 'Pattern Perfect' Tatarian maple,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Hamamalis 'Helene' - 'Helene' Witch hazel,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Acer x freemanii 'Scarsen' - 'Scarsen' Freeman maple,Acer x freemanii,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Prunus avium - Sweet Cherry,Prunus avium,R0 exact,-,already a corpus name
Tilia x euchlora 'Laurelhurst' - 'Laurelhurst' Crimean linden,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Fraxinus pennsylvanica 'Patmore' - 'Patmore' Green ash,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Laburnum x watereri - golden chain tree,,unmapped (accepted),ITIS TSN 819766,accepted taxon absent from the corpus; the build mints it
Zelkova serrata 'Variegata' - 'Variegata' Zelkova,Zelkova serrata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Taxodium ascedens 'Nutans' - 'Nutans' Bald cypress,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Ginkgo biloba 'Golden Collonade' - 'Golden Collonade' Ginkgo,Ginkgo biloba,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Tilia americana 'Frontyard' - 'Frontyard' American linden,Tilia americana,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Maackia amurensis 'MaacNificent' - 'MaacNificent' Amur Maackia,Maackia amurensis,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Picea pungens 'Fat Albert' - 'Fat Albert' Colorado blue spruce,Picea pungens,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Magnolia macrophylla - bigleaf magnolia,,unmapped (accepted),ITIS TSN 18075,accepted taxon absent from the corpus; the build mints it
Prunus fruticosa 'Globosa' - 'Globosa' European dwarf cherry,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Amelanchier alnifolia - Saskatoon serviceberry,,unmapped (accepted),ITIS TSN 25109,accepted taxon absent from the corpus; the build mints it
Fagus sylvatica 'Purple Fountain' - 'Purple Fountain' European beech,Fagus sylvatica,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Tilia x europaea 'Pallida' - 'Pallida' Common linden,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Amelanchier lamarkii - Serviceberry,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Tilia cordata 'Shamrock' - 'Shamrock' Littleleaf linden,Tilia cordata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cladrastis kentukea 'Sweetshade' - 'Sweetshade' American yellowwood,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Acer pseudoplatanus 'Atropurpureum' - 'Atropurpureum' Sycamore maple,Acer pseudoplatanus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Syringa pekinensis 'Great Wall' - 'Great Wall' Peking lilac,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Carya laciniosa - shellbark hickory,,unmapped (accepted),ITIS TSN 19235,accepted taxon absent from the corpus; the build mints it
Pinus ponderosa - ponderosa pine,,unmapped (accepted),ITIS TSN 183365,accepted taxon absent from the corpus; the build mints it
Acer pensylvanicum - striped maple,,unmapped (accepted),ITIS TSN 28754,accepted taxon absent from the corpus; the build mints it
Maackia amurensis 'Starburst' - 'Starburst' Amur Maackia,Maackia amurensis,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Liriodendron tulipifera 'Arnold' - 'Arnold' Tulip poplar,Liriodendron tulipifera,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Ulmus 'Pioneer' - 'Pioneer' Elm,Ulmus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cornus mas 'Redstone' - 'Redstone' Cornelian cherry,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Celtis laevigata - sugarberry,,unmapped (accepted),ITIS TSN 19042,accepted taxon absent from the corpus; the build mints it
Prunus serrula - Tibetan cherry,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Betula nigra 'Cully' - 'Cully' river birch,Betula nigra,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Acer truncatum 'Norwegian Sunset' - 'Norwegian Sunset' Shangtung maple,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Tilia tomentosa 'Szeleste' - 'Szeleste' Silver linden,Tilia tomentosa,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Quercus macrocarpa 'Urban Pinnacle' - 'Urban Pinnacle' bur oak,Quercus macrocarpa,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Quercus phellos 'Upperton' - 'Upperton' Willow oak,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Cornus x rutban 'Aurora' - 'Aurora' Dogwood,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Sorbus alnifolia - Korean mountain ash,,unmapped (accepted),ITIS TSN 836432,accepted taxon absent from the corpus; the build mints it
Cryptomeria japonica 'Angelica' - 'Angelica' Japanese cedar,Cryptomeria japonica,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Ulmus parvifolia 'Bosque' - 'Bosque' Chinese elm,Ulmus parvifolia,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Acer rubrum 'New World' - 'New World' Red maple,Acer rubrum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Hamamelis x intermedia 'Diane' - 'Diane' Witch hazel,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Pyrus calleryana 'Holmford' - 'Holmford' Callery pear,Pyrus calleryana,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Thuja occidentalis 'George Peabody' - 'George Peabody' Arborvitae,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Eucommia ulmoides 'Emerald Pointe' - 'Emerald Pointe' Hardy rubber tree,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Cornus x rutgan 'Stellar Pink' - 'Stellar Pink' Dogwood,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Cornus kousa 'Radiant Rose' - 'Radiant Rose' Dogwood,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Prunus x yedoensis 'Cascade Snow' - 'Cascade Snow' Yoshino cherry,Prunus x yedoensis,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Fagus sylvatica 'Dawyckii Purple' - 'Dawyckii Purple' European beech,Fagus sylvatica,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Pinus flexilis 'Vanderwolf' - 'Vanderwolf' Limber pine,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Corylus avellana - common filbert,,unmapped (accepted),ITIS TSN 501642,accepted taxon absent from the corpus; the build mints it
Prunus domestica - Domestic Plum,Prunus domestica,R0 exact,-,already a corpus name
Pyrus pyrifolia - Asian Pear,,unmapped (accepted),ITIS TSN 25296,accepted taxon absent from the corpus; the build mints it
Cotinus 'Grace' - 'Grace' Smoketree,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Malus x zumi var. calocarpa - Redbud crabapple,,unmapped (synonym),ITIS TSN 837681,Malus X zumi
Prunus 'Dreamcatcher' - 'Dreamcatcher' Cherry,Prunus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Camellia sinensis - tea,,unmapped (accepted),ITIS TSN 506801,accepted taxon absent from the corpus; the build mints it
Salix x pendulina - Wisconsin Weeping Willow,,unmapped (accepted),ITIS TSN 507155,accepted taxon absent from the corpus; the build mints it
Acer tataricum 'Rugged Charm' - 'Rugged Charm' Tatarian maple,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Acer glabrum - Rocky Mountain maple,,unmapped (accepted),ITIS TSN 28742,accepted taxon absent from the corpus; the build mints it
Tilia cordata 'Prestige' - 'Prestige' Littleleaf linden,Tilia cordata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Koelreuteria paniculata 'Summerburst' - 'Summerburst'Goldenraintree,Koelreuteria paniculata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Quercus nigra - water oak,,unmapped (accepted),ITIS TSN 19280,accepted taxon absent from the corpus; the build mints it
Pinus mugo - Mountain Pine,,unmapped (accepted),ITIS TSN 183358,accepted taxon absent from the corpus; the build mints it
Crataegus 'Lavellus' - 'Lavellus' Hawthorn,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Ginkgo biloba 'Fastigiate' - 'Fastigiate' Ginkgo,Ginkgo biloba,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Sorbus aucuparia - European mountain ash,,unmapped (accepted),ITIS TSN 25320,accepted taxon absent from the corpus; the build mints it
Corylus cornuta - beaked hazelnut,,unmapped (accepted),ITIS TSN 19507,accepted taxon absent from the corpus; the build mints it
Juglans regia - English walnut,Juglans regia,R0 exact,-,already a corpus name
Zelkova serrata 'Kiwi Sunset' - 'Kiwi Sunset' Zelkova,Zelkova serrata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cercis canadensis 'Columbus' - 'Columbus' Eastern redbud,Cercis canadensis,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Crataegus 'Crimson Cloud' - 'Crimson Cloud' Hawthorn,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Cornus florida 'Cherokee Princess' - 'Cherokee Princess' Flowering dogwood,Cornus florida,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Liquidambar styraciflua 'Grandmaster' - 'Grandmaster' Sweetgum,Liquidambar styraciflua,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Pyrus calleryana 'Cleveland Select' - 'Cleveland Select' Callery pear,Pyrus calleryana,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Sorbus americana - American mountain ash,,unmapped (accepted),ITIS TSN 25319,accepted taxon absent from the corpus; the build mints it
Lagerstroemia indica 'Sarah's Favorite' - 'Sarah's Favorite' Crapemyrtle,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Prunus 'Snow Goose x Copper Graft' - 'Snow Goose x Copper Graft' Cherry,Prunus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Syringa meyeri 'Palibin' - 'Palibin' Korean lilac,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Cedrus deodora - Himalayan cedar,Cedrus deodora,R0 exact,-,already a corpus name
Fagus sylvatica 'Dawyck' - 'Dawyck' European beech,Fagus sylvatica,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Sorbus hybrida - oakleaf mountain ash,,unmapped (accepted),ITIS TSN 505297,accepted taxon absent from the corpus; the build mints it
Ilex x meserveae 'Blue Maid' - 'Blue Maid' Meserve holly,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Chamaecyparis nootkanensis - Nootka falsecypress,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Prunus 'Holly Jolivette' - 'Holly Jolivette' Cherry,Prunus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Pinus strobus 'Fastigiata' - 'Fastigiata' Eastern white pine,Pinus strobus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
